PRODUCT_ID/tPRODUCT_NAME/tUNIT_PRICE
16/t"Women's Socks (Grey)"/t39.89
17/t"Women's Sweater (Brown)"/t24.46
18/t"Women's Jacket (Black)"/t14.34
19/t"Men's Coat (Red)"/t28.21
20/t"Girl's Shorts (Green)"/t38.34
21/t"Girl's Pyjamas (White)"/t39.78
22/t"Men's Shorts (Black)"/t10.33
23/t"Men's Pyjamas (Blue)"/t48.39
24/t"Boy's Sweater (Red)"/t9.8
25/t"Girl's Jeans (Grey)"/t48.75
26/t"Girl's Hoodie (White)"/t39.91
27/t"Boy's Coat (Blue)"/t10.24
28/t"Men's Hoodie (Red)"/t24.71
29/t"Boy's Shirt (Black)"/t37.34
30/t"Women's Pyjamas (Grey)"/t28.59
31/t"Women's Skirt (Green)"/t5.65
32/t"Women's Jacket (Blue)"/t37
33/t"Boy's Pyjamas (Grey)"/t23.32
34/t"Women's Jeans (Red)"/t7.18
35/t"Girl's Dress (Red)"/t49.12
36/t"Women's Trousers (Blue)"/t29.51
37/t"Boy's Jeans (Blue)"/t22.98
38/t"Girl's Pyjamas (Red)"/t11
39/t"Boy's Trousers (Blue)"/t34.06
40/t"Girl's Pyjamas (Black)"/t8.66
41/t"Women's Dress (Black)"/t10.11
1/t"Boy's Shirt (White)"/t29.55
2/t"Women's Shirt (Green)"/t16.67
3/t"Boy's Sweater (Green)"/t44.17
4/t"Boy's Trousers (White)"/t43.71
5/t"Girl's Shorts (Red)"/t38.28
6/t"Boy's Socks (Grey)"/t19.16
7/t"Boy's Socks (Black)"/t19.58
8/t"Boy's Coat (Brown)"/t21.16
9/t"Women's Jeans (Brown)"/t29.49
10/t"Women's Skirt (Red)"/t30.69
11/t"Boy's Shorts (Blue)"/t10.48
12/t"Boy's Socks (White)"/t12.64
13/t"Boy's Hoodie (Grey)"/t26.14
14/t"Women's Skirt (Brown)"/t13.97
15/t"Girl's Coat (Blue)"/t13.09
42/t"Boy's Jeans (Black)"/t16.64
43/t"Boy's Trousers (Black)"/t39.32
44/t"Women's Coat (Black)"/t31.68
45/t"Men's Jeans (Grey)"/t27.64
46/t"Girl's Trousers (Red)"/t39.16
